Process Name,App Name,DLL Count,SHA256
jstat.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,928b15876cc522f66440d020be148c91a53025cb5ff191bf7065be994c5763a8
jstack.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,cfd51c3a24c964488aad7bdcdfc53201a40b9da65182bd5845b358facb906cfc
jrunscript.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,282ec823882c4d4707b48673b820ba031af668dac316997174693a544747a562
jps.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,aae5e7d8e54e9726361416d84f83177643a48195a48287dcb7fdb9aff978d120
jmap.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,182534b7178b1b605197c2b7c0d99d50eac5acd88f4dd2cc2e4f824d45df4313
jinfo.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,74bbdffefd9d4dcea166a72e2e8d5c9eb19d7c2cfbbe0dd1219dd97a306842f9
jhsdb.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,ed284db5ec45e4d71a69898731b7be938e2599e54e845a86efd997a97e969fa6
jfr.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,00df70d2b9cdd198daf62a521533eda5c82ded4389a26f2bcfaa77c8d64d33ed
jdb.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,296e62d07c7e0f3aa73cde5187347d36a1a657857856460c9f5fb3097ae4b653
jcmd.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,c366808f856fe2936c072d42c10e3788ff67f0b03e3669c581c390fe95d8561f
javaw.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,4296df628d57e4efed8afd5e0cf6109862a186b825e6fe85721b3c028f663cfd
javadoc.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,726ca5c30bcb5aa848102ccd40c968742b0b9ead841a7eed8edcc782ced12f96
javac.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,4058d811ca17644bd9e05614cca248d5a30e01853b35b1dc94ab3848bf518f93
java.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,63267782812f84001922687feeaa93c3218c7a1f03409f0650dcdbef2e7bc8cb
identity_helper.exe,Microsoft Edge v148.0.3967.96,3,72a7c6a492a3cacce1994c675f5e94339f9c5e323e29d36e2ed2c5c988bbfd0d
id.exe,id v0.0.0.0,4,
head.exe,head v0.0.0.0,4,
grep.exe,grep v0.0.0.0,5,
git-upload-pack.exe,Git v2.54.0.1,6,e902eb7977e543a54e9ad7f579a53b64de3470ba5b9b1dd9095d107164f4cc21
git-upload-archive.exe,Git v2.54.0.1,6,fcdab9b72ceeab411720661ae7fc03791952d8f5b1660610f20ad2300e1c22ad
git-sh-i18n--envsubst.exe,Git v2.54.0.1,6,f5ac5bace9566501be8c54e469bd6ce40ae3be8d8902e577f0e5b78cd0aa10b6
git-remote-https.exe,Git v2.54.0.1,6,f4c9d7f2f85b795603f501c25ad63fff82fce233ae0fc3d48e4e3c8669e5d788
git-remote-http.exe,Git v2.54.0.1,6,fcdab9b72ceeab411720661ae7fc03791952d8f5b1660610f20ad2300e1c22ad
git-remote-ftps.exe,Git v2.54.0.1,6,f4c9d7f2f85b795603f501c25ad63fff82fce233ae0fc3d48e4e3c8669e5d788
git-remote-ftp.exe,Git v2.54.0.1,6,f4c9d7f2f85b795603f501c25ad63fff82fce233ae0fc3d48e4e3c8669e5d788
git-receive-pack.exe,Git v2.54.0.1,6,5c6ef4561fe38aebf7d8d5b2ce265e0bff9d915d3b8caeeb8fe72798d9e16b21
git-imap-send.exe,Git v2.54.0.1,7,0cd9a55c9c57dfa096e272fda45eed4e832134b0f4c5a157fbca6dffb9677534
git-http-push.exe,Git v2.53.0.3,7,829f5676bad53bef52181366833a64acf99984cd45aed9383447cf269bed00db
git-http-fetch.exe,Git v2.54.0.1,6,c86bc8c30b5956fef9c28fc53d896ea79a40c4f1b1159e2a91d7a33291864488
git-http-backend.exe,Git v2.54.0.1,6,369b009bdf36eb97d3c590d96f68d1323d910c19ceff526aa33d6b186ef9503b
